ID,Contents,Lien Post,Nb Like,Nb Love,Nb Care,Nb Wow,Nb Sad,Nb Angry,Nb Haha,Company,Date,Culture & Celebration,Sport,Product,Promotion,Network,Survey,Event,Contest & Games,Other
41,"
عندك LEGEND MAX؟
BIEN SÛR QUE انت اسطورة 😎",https://www.facebook.com/share/v/1EZyVsxH3S/,91,20,0,1,0,0,6,Djezzy,2024-03-25,0,0,0,0,0,0,0,0,1
42,"بالشراكة مع الكشافة الإسلامية الجزائرية، جازي تشارككم الأجواء التضامنية من مطعم فوج امال قاوش ببلدية الشراقة.
تتميز هذه المبادرة بمساهمة الكشافين من مختلف الأعمار  في ادخال الفرحة ورسم البسمة على وجوه القاصدين و العابرين من كل مكان.
في هذا رمضان نرسمو البسمة  مع بعض 🤝 
فوج ٱمال قاوش الكشافة الإسلامية الجزائرية 
 #جازي #مائدة_البسمة #الكشافة_الإسلامية_الجزائرية",https://www.facebook.com/share/v/1Dcy3GKWLV/,65,28,3,0,0,0,0,Djezzy,2024-03-27,0,0,0,0,0,0,0,0,1
43,"تابعوا الاحداث المتنوعة في حلقة اليوم من شبه حصة 2 في هذا رمضان 🌙 
شاهدوا  الحلقة كاملة على 👈  https://youtu.be/iarIxuw3n40
#جازي #شبه_حصة2 #رمضان2024",https://www.facebook.com/share/v/196vTS7ztN/,49,17,2,0,0,0,1,Djezzy,2024-03-27,0,0,0,0,0,0,0,0,1
44,"مع  LEGEND MAX استفد من مكالمات غير محدودة نحو جميع الشبكات الوطنية و الMax  تاع الانترنت 😎 
للمزيد من التفاصيل : https://ms.spr.ly/6186cUdNk
#جازي #نتا_هو_الأسطورة",https://www.facebook.com/share/p/15N1wg8V2N/,133,20,4,2,0,5,4,Djezzy,2024-03-27,0,0,0,0,0,0,0,0,1
45,"متفوتش العرض في هذا رمضان 😎 
حمّل ، اكتيفي ، و دوبلي ✌️ 
هذا كامل على 👈 https://ms.spr.ly/6181gi6y3
#جازي #دوبل_أنترنت #رمضان2024_جازي_APP",https://www.facebook.com/share/v/19HbnWWpMa/,37,15,1,0,0,4,0,Djezzy,2024-03-28,0,0,0,0,0,0,0,0,1
46,"تابعوا حلقة اليوم من شبه حصة مع مراد و أرقام 🎬
لمشاهدة الحلقة كاملة 👈 https://youtu.be/SqxB8u6ui-4",https://www.facebook.com/share/v/1AewF1ZDSN/,35,16,1,0,0,0,0,Djezzy,2024-03-28,0,0,0,0,0,0,1,0,0
47,"ألف شكر Super Fans تاعنا ،شكرا على محبتكم و وفائكم لينا و تفاعلكم الدائم معانا 🥰🙏🏻🙌
صح سحوركم 🌙",https://www.facebook.com/share/v/15Z5g8V2Cs/,76,33,5,0,0,1,0,Djezzy,2024-03-29,0,0,0,0,0,0,0,0,1
48,"تحب دير بزاف LES STORIES ، les REELS ، Les PHOTOS غير DJEZZY LEGEND لي تخرج عليك , 100 GO إنترنت و انت مهني 😎 
للمزيد من التفاصيل : https://ms.spr.ly/6186cUdNk
#جازي #نتا_هو_الأسطورة",https://www.facebook.com/share/v/19aWCgdZW3/,133,20,2,0,0,2,7,Djezzy,2024-03-30,0,0,0,0,1,0,1,0,0
49,"نتوما عشاق الألعاب الإلكترونية 🎮🕹️ تحبو تقضيو وقت شباب معنا؟🎯 
خممت فيكم  #MobiliStore  عيشوا متعة الألعاب فيها  🎊🎁🎀
#موبيليس #معا_نصنع_المستقبل",https://www.facebook.com/share/p/18K8JuwacB/,399,38,8,0,0,1,2,Mobilis,2024-01-04,0,0,1,0,0,0,1,0,0
50,"قرعة الدورين الـ32 والـ16 لكأس الجزائر الطبعة 59 🏆⚽🇩🇿
تتابعونها يوم الأحد 7 جانفي 2024 على الساعة 17:30⏳
#موبيليس #الراعي_والشريك_الرسمي_لكأس_الجزائر
#معا_نصنع_المستقبل",https://www.facebook.com/share/p/15Y99MUo3z/,612,61,7,0,0,1,0,Mobilis,2024-01-06,0,0,0,0,0,0,1,0,0
51,"#موبيليس يقدم لكم أفضل عرض في تاريخ 🌍 الاتصالات🌐 بالجزائر 
استمتعوا باكتشاف العرض 🙂
#MobilisTwenty
#mobilis20
#معا_نصنع_المستقبل",https://www.facebook.com/share/p/19agW9qpsy/,919,105,8,1,2,14,46,Mobilis,2024-01-08,0,0,0,0,0,0,0,0,1
52,"#DoYouKnow?💡💡
 معرفة هذه الرموز تسهلك استخدام شبكة #موبيليس👌👇
#معا_نصنع_المستقبل",https://www.facebook.com/share/p/1E24GUMXeK/,998,103,17,0,1,4,2,Mobilis,2024-01-08,0,0,0,0,1,0,0,0,0
53,"الموسيقى عالم آخر🎵🎧🎤 تتنقل من بلاد إلى بلاد باش تكتشفها...
تسافر بيك✈️ وانت في مكانك بأسعار هايلة 😍😍
عيشوا الموسيقى مع #MobSound 
#موبيليس #معا_نصنع_المستقبل
#MobSound",https://www.facebook.com/share/p/1HqqUvAo1b/,1470,155,25,1,2,9,49,Mobilis,2024-01-10,1,0,0,0,0,0,1,0,0
54,"موبيليس حاضر في كوت ديفوار!🤩
مناصرو الخضر🇩🇿 موبيليس يرافقكم بعروض التجوال الحصرية إلى كأس إفريقيا  🏆
لاستخدام الإنترنت و الاستمتاع بأجواء الكان #CAN2023
👈شكلوا #600* أو اتصلوا بنا على 888
المزيد من المعلومات على : https://www.mobilis.dz/Pass_Cote_Ivoire.php
 #معا_نصنع_المستقبل #TogheterWeMakeTheFuture",https://www.facebook.com/share/p/14WqBnkPiC/,1236,181,16,1,1,4,68,Mobilis,2024-01-14,0,0,0,0,1,0,1,0,0
55,"موبيليس حاضر في كوت ديفوار!🤩
مناصرو الخضر🇩🇿 موبيليس يرافقكم بعروض التجوال الحصرية إلى كأس إفريقيا  🏆
لاستخدام الإنترنت و الاستمتاع بأجواء الكان #CAN2023
👈شكلوا #600* أو اتصلوا بنا على 888
المزيد من المعلومات على : https://www.mobilis.dz/Pass_Cote_Ivoire.php
 #معا_نصنع_المستقبل #TogheterWeMakeTheFuture",https://www.facebook.com/share/p/15czsiscTG/,1117,157,18,1,0,3,11,Mobilis,2024-01-17,0,0,1,0,0,0,1,0,0
56,"#موبيليس مستمرة بزرع الأمل في المناطق المحروقة🌳🌲
✅في إطار الإتفاقية المبرمة بين #موبيليس والمديرية العامة للغابات، تتواصل عملية توزيع الأشجار المثمرة المقاومة للجفاف على الفلاحين وساكنة الريف في المناطق المتضررة من حرائق الغابات الأخيرة.
✅العملية تهدف إلى إعادة تأهيل الغابات وتعزيز النشاط الزراعي والاقتصادي ودعم الفلاحين وتشمل عدة ولايات من الوطن.
✅تم توزيع شتلات من عدة أصناف : الزيتون، المشماش، البرقوق، اللوز, الرمان والحمضيات..
✅#موبيليس تؤكد بذلك على دورها الإجتماعي والبيئي، وتعبر عن تضامنها مع السكان المتضررين من الحرائق، وتساهم في حماية الغابات والتنوع البيولوجي في الجزائر.
#معا_نصنع_المستقبل
🌳🌲🌳🌲🌳🌲🌳🌲🌳🌲🌳🌲🌳🌲🌳🌲🌳🌲",https://www.facebook.com/share/p/1BD4jNpCoc/,2165,324,30,0,0,3,1,Mobilis,2024-01-17,0,0,0,0,1,0,1,0,0
57,"#موبيليس يواصل زرع الأمل في المناطق المحروقة🌳🌲
✅في إطار الاتفاقية المبرمة بين #موبيليس والمديرية العامة للغابات و قصد  تمويل برنامج توزيع الشجيرات المثمرة عبر 20 ولاية.. استفادت ولاية #سكيكدة من تمويل يساوي 10.000.000 دج لاقتناء 34643 من الشجيرات المثمرة لفائدة 234 مستفيد بهدف تأهيل و إعادة الاعتبار للمناطق الغابية المحروقة.
✅تم توزيع 17315 شجيرة مثمرة على 82 مستفيد موزعين على 05 بلديات: ""عزابة، جندل محمد سعدي، عين شرشار، السبت و بن عزوز"".
✅المستفيدون من البرنامج عبروا عن خالص تثمينهم و شكرهم للجهود المبذولة في اطار دعمهم و تعويضهم جراء تضرر أشجارهم المثمرة من حرائق الصيف المنصرم.
#معا_نصنع_المستقبل",https://www.facebook.com/share/p/19fvXx7FWj/,1224,197,15,0,0,1,0,Mobilis,2024-01-18,0,0,0,0,0,0,0,0,1
58,"مع موبيليس دير النية تربح وماتروحش يديك فارغين👌🤩🤩🎁
مبروك للأسماء المذكورة الفوز بأقمصة للمنتخب الوطني مهداة من طرف #موبيليس🤩
✅بهذا #موبيليس رفع من عدد الفائزين و فرص الربح لتكون من نصيب 40شخصا 
✅ماتنساوش مزااال كاين المسابقة الكبرى تربحو فيها جوائز قيمة
#معا_نصنع_المستقبل",https://www.facebook.com/share/p/15ejBauXN9/,3574,58,29,2,6,64,34,Mobilis,2024-01-20,0,0,0,1,0,0,1,0,0
59,"✅ خدمة التعبئة و تسديد الفاتورة عبر الصراف الآلي ل@بريد_الجزائر ⬇️⬇️
📌 للمزيد من المعلومات :
https://www.mobilis.dz/ar/particulier_ar/service.php?page=33",https://www.facebook.com/share/p/1B57CNAFUX/,911,92,10,0,0,5,1,Mobilis,2024-01-22,0,0,0,0,1,0,0,0,0
